molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL187523,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)cc1)C(=O)O,active,14.0
CHEMBL449228,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,active,38.0
CHEMBL515439,CC(C)[C@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,active,600.0
CHEMBL475230,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,active,11.0
CHEMBL475231,CC(C)[C@H](NS(=O)(=O)c1ccc2oc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,active,170.0
CHEMBL474397,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NS(=O)(=O)C(C)C)ccc3c2c1)C(=O)O,active,50.0
CHEMBL474398,Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,intermediate,2500.0
CHEMBL473610,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NS(=O)(=O)c4ccccc4)ccc3c2c1)C(=O)O,active,100.0
CHEMBL473611,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NS(C)(=O)=O)cc12)C(=O)O,active,10.3
CHEMBL475619,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NS(=O)(=O)CC(F)(F)F)cc12)C(=O)O,active,70.0
CHEMBL474456,COC(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,active,7.2
CHEMBL474457,CCCOC(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,active,14.0
CHEMBL474622,CC(C)OC(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,active,39.0
CHEMBL492314,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NC(=O)Oc4ccccc4)ccc3c2c1)C(=O)O,active,45.0
CHEMBL450549,COC(=O)Nc1cc2oc3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3c2cc1Br,intermediate,1050.0
CHEMBL492315,COC(=O)Nc1cc2oc3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3c2cc1Br,intermediate,3900.0
CHEMBL523034,COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,active,2.0
CHEMBL523035,CCOC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,active,5.0
CHEMBL494528,CCCOC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,active,5.6
CHEMBL494529,CC(C)COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,active,4.7
CHEMBL523201,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)OCCF)cc12)C(=O)O,active,2.1
CHEMBL523357,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Oc3ccccc3)cc12)C(=O)O,active,10.2
CHEMBL493750,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Oc3ccccc3Cl)cc12)C(=O)O,active,6.6
CHEMBL492531,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Oc3ccc(F)cc3)cc12)C(=O)O,active,8.1
CHEMBL523670,Cc1ccc(OC(=O)Nc2ccc3oc4cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc4c3c2)cc1,active,14.0
CHEMBL523001,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(N)=O)cc12)C(=O)O,active,7.6
CHEMBL492952,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)NC3CCCC3)cc12)C(=O)O,active,5.0
CHEMBL523683,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Nc3ccsc3)cc12)C(=O)O,active,0.9
CHEMBL493356,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)NCCc3cccs3)cc12)C(=O)O,active,1.1
CHEMBL493958,COC(=O)Nc1ccc2c(c1)oc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12,active,12.0
CHEMBL492904,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)OCCF)ccc12)C(=O)O,active,10.0
CHEMBL492905,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)Oc3ccc(F)cc3)ccc12)C(=O)O,active,16.0
CHEMBL449325,COc1ccc2nc[nH]c2c1,inactive,2000000.0
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active,1.0
CHEMBL156406,O=C1NC(=O)C(c2ccccc2)N1,active,290.0
CHEMBL485691,Cc1ccc2c(c1)NC(=O)CO2,inactive,355000.0
CHEMBL485690,Cc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,inactive,5000000.0
CHEMBL503690,Cn1cc2c(n1)-c1cc(Cl)ccc1SC2,inactive,1000000.0
CHEMBL460725,Nc1c(N2CCc3ccc(CNC(=O)c4nc5sc6c(c5c(=O)[nH]4)CCS(=O)(=O)C6)cc3C2)c(=O)c1=O,intermediate,5000.0
CHEMBL460899,NC(=O)CC1CCCc2sc3nc(C(=O)NCc4ccc5c(c4)NC(=O)CO5)[nH]c(=O)c3c21,inactive,10000.0
CHEMBL4859268,CC(C)(Cc1ccc(F)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(-c2ccccc2)cc1,inactive,25000.0
CHEMBL187523,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)cc1)C(=O)O,active,14.0
CHEMBL523034,COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,active,2.0
CHEMBL449228,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,active,38.0
CHEMBL515439,CC(C)[C@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,active,600.0
CHEMBL570310,CC(C)[C@@H](NS(=O)(=O)c1ccc2sc3ccccc3c2c1)C(=O)O,active,87.0
CHEMBL551190,CC(C)[C@H](NS(=O)(=O)c1ccc2sc3ccccc3c2c1)C(=O)O,active,750.0
CHEMBL552376,CC(C)[C@@H](NS(=O)(=O)c1ccc2sc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,intermediate,4400.0
CHEMBL552377,CC(C)[C@H](NS(=O)(=O)c1ccc2sc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,intermediate,2100.0
